X,Y,OCC
566821,5896685,0
15757,6114725,0
587767,5885085,0
371561,6006222,0
223428,5789775,0
145743,5925273,0
376827,5723766,0
240834,5979831,0
195216,5934994,0
405048,5872695,0
58042,6113738,0
151382,5729835,0
412181,5843834,0
177612,5912180,0
470949,5832222,0
41491,6074512,0
15332,5797572,0
530290,5848982,0
101334,6018474,0
116215,6084703,0
329483,5985522,0
380155,5956814,0
47932,6083854,0
261522,6006956,0
333068,6003736,0
25394,6113577,0
555921,5891444,0
38275,6082878,0
507759,5989994,0
272653,5996594,0
485885,5815837,0
106521,5777662,0
200359,5774677,0
558,6110879,0
685462,5866244,0
657536,5838770,0
473411,5777043,0
722856,5848856,0
401350,5744382,0
73260,6188280,0
59315,6004582,0
131944,5816800,0
433566,5829507,0
152769,6117167,0
571456,5964692,0
262595,5834513,0
152783,5768626,0
123036,5894531,0
304024,5814536,0
401727,5915886,0
98820,5833583,0
119239,5979073,0
24656,5917176,0
605615,5885732,0
432748,5790370,0
-37083,6208800,0
434638,5721644,0
-23633,5829685,0
585494,5965013,0
578500,5946637,0
76591,6138916,0
278740,5768311,0
210340,5925259,0
140899,6110225,0
461019,5938809,0
370415,5897765,0
566536,5914929,0
71014,5860091,0
593516,5887253,0
615103,5916539,0
415772,5917894,0
139624,6130438,0
328047,6031094,0
183563,5761944,0
410686,5908280,0
345580,5736354,0
589468,5812621,0
60532,6014620,0
50386,5765755,0
192279,5699040,0
267984,5894438,0
409541,5767051,0
680696,5882069,0
349621,6013642,0
68783,6155352,0
146940,5875045,0
-40031,6129853,0
226049,5896755,0
40598,6096148,0
68476,6058925,0
-45939,6088566,0
120399,5974104,0
89960,5936931,0
20951,6073755,0
23916,5757042,0
212243,5906566,0
482008,5758644,0
77875,6066153,0
551627,5814435,0
322877,5935298,0
537935,5937989,0
65476,6024848,0
87447,6114460,0
137320,5802432,0
181898,6053941,0
83439,6065165,0
19224,5767445,0
688592,5864784,0
336248,5923471,0
200275,6039253,0
63357,6132096,0
124820,5941362,0
321513,6003551,0
229938,5940863,0
75342,5810598,0
130568,5763409,0
523698,5956709,0
54125,5852127,0
467315,5870637,0
74879,5836729,0
149709,6110924,0
544214,5879220,0
47883,5792830,0
477055,5927971,0
606534,5861382,0
82943,5770928,0
235857,5980394,0
372159,5917964,0
314169,5929749,0
227120,5993152,0
513715,5904183,0
417139,5712791,0
697295,5872605,0
-22207,5951302,0
244849,5882955,0
136546,5953639,0
253454,6009781,0
422714,5759791,0
290253,5958845,0
-1451,5983569,0
553911,5936649,0
211969,5773649,0
396706,5919605,0
466544,5775184,0
410744,6008980,0
238810,5880964,0
695704,5831773,0
494480,5882781,0
161788,5981301,0
321929,5949293,0
263443,5817076,0
209868,5882969,0
462488,6006383,0
437972,5777174,0
198186,6019568,0
41833,6186396,0
503626,5822245,0
-11582,5986593,0
463536,5782946,0
36136,6063718,0
487893,5767202,0
220160,5715577,0
168821,5941840,0
492243,5915354,0
417147,5799889,0
315948,5917604,0
518973,5926533,0
260808,5944579,0
67415,5986220,0
45355,5796513,0
280420,6004496,0
-9125,5937562,0
-6508,5966033,0
234297,5851748,0
127214,5821914,0
-45584,6109085,0
339233,5790902,0
183760,5931197,0
-48323,6134869,0
298424,5931279,0
596644,5847670,0
154668,5925089,0
602585,5837569,0
47215,6044875,0
77168,5750935,0
319420,5933370,0
365436,5756600,0
-40274,6041460,0
162407,5938752,0
538478,5796795,0
416044,5949869,0
379716,5928676,0
314238,5890433,0
538063,5799470,0
363556,5946624,0
53683,5889540,0
118698,5977654,0
388835,5919755,0
373031,5913597,0
367833,5913583,0
93826,5872864,0
517384,5960163,0
146889,5732681,0
423667,5786858,0
312330,5857470,0
149742,5840915,0
124957,5974000,0
557647,6015678,0
460954,5802103,0
240967,5752685,0
18535,6141527,0
206741,5751844,0
43837,5948778,0
413226,5700387,0
87855,5833703,0
394860,5985501,0
373970,5949337,0
397651,5927499,0
410066,5740814,0
78370,6062014,0
89365,6108810,0
63771,5883476,0
-20804,5806187,0
166858,5993815,0
252143,5757844,0
217168,5839515,0
633793,5902422,0
334333,6030910,0
474069,5860864,0
-29998,6011875,0
238038,6037009,0
108623,5819618,0
599821,5930984,0
-4213,6101046,0
6065,6153469,0
546554,6012607,0
257204,5977643,0
260658,5856016,0
119741,5806154,0
472445,5948796,0
164361,6000346,0
725534,5849825,0
313940,5873987,0
1144,5863534,0
422345,5748785,0
615557,5905796,0
213444,5791851,0
105779,5805469,0
447390,5669238,0
103084,6094138,0
195078,5984835,0
286587,5930644,0
381968,5842678,0
252215,5764308,0
396743,5823650,0
290795,5809280,0
38794,5992333,0
92724,5912244,0
311713,5939157,0
536408,5985792,0
191274,5995372,0
371940,5866281,0
541936,5938380,0
