"Estimate","Std. Error","z value","Pr(>|z|)"
-3.803,0.3069,-12.39,2.932e-35
0.003237,0.0002269,14.27,3.579e-46
1.642,0.3499,4.694,2.678e-06
-0.02659,0.002114,-12.58,2.744e-36
-0.005754,0.004693,-1.226,0.2201
0.002379,0.002072,1.148,0.2509
0.1547,0.01704,9.076,1.131e-19
-0.0006914,5.333e-05,-12.96,1.953e-38
0.02314,0.003458,6.692,2.198e-11
0.6638,0.1511,4.392,1.121e-05
0.6321,0.1465,4.313,1.608e-05
0.1542,0.1467,1.051,0.2934
0.1019,0.1635,0.6233,0.5331
-1.074,0.1438,-7.474,7.751e-14
0.04021,0.008979,4.479,7.514e-06
0.01297,0.007448,1.741,0.08162
-0.133,0.141,-0.9426,0.3459
